state_abr,state_fips,state,district,candidate_name_first,candidate_name_last,candidate,party,general_votes,general_perc,runoff_votes_LA_only,runoff_perc_LA_only,combined_general_votes_CT_NY_SC_only,combined_general_perc_CT_NY_SC_only,winner
CA,06,California,43,Maxine,Waters,Maxine Waters,D,"167,017",0.760842034,,,,,W
CA,06,California,43,Omar,Navarro,Omar Navarro,R,"52,499",0.239157966,,,,,
CA,06,California,43,,,Total Votes,,"219,516",,,,,,
CA,06,California,44,Nanette Diaz,Barragán,Nanette Diaz Barragán,D,"93,124",0.521957481,,,,,W
CA,06,California,44,"Isadore, III",Hall,"Isadore, III Hall",D,"85,289",0.478042519,,,,,
CA,06,California,44,,,Total Votes,,"178,413",,,,,,
CA,06,California,45,Mimi,Walters,Mimi Walters,R,"182,618",0.585597517,,,,,W
CA,06,California,45,Ron,Varasteh,Ron Varasteh,D,"129,231",0.414402483,,,,,
CA,06,California,45,,,Total Votes,,"311,849",,,,,,
CA,06,California,46,Lou,Correa,Lou Correa,D,"115,248",0.700199887,,,,,W
CA,06,California,46,Bao,Nguyen,Bao Nguyen,D,"49,345",0.299800113,,,,,
CA,06,California,46,,,Total Votes,,"164,593",,,,,,
CA,06,California,47,Alan,Lowenthal,Alan Lowenthal,D,"154,759",0.637214454,,,,,W
CA,06,California,47,Andy,Whallon,Andy Whallon,R,"88,109",0.362785546,,,,,
CA,06,California,47,,,Total Votes,,"242,868",,,,,,
CA,06,California,48,Dana ,Rohrabacher,Dana  Rohrabacher,R,"178,701",0.583197353,,,,,W
CA,06,California,48,Suzanne,Savary,Suzanne Savary,D,"127,715",0.416802647,,,,,
CA,06,California,48,,,Total Votes,,"306,416",,,,,,
CA,06,California,49,Darrell,Issa,Darrell Issa,R,"155,888",0.50261321,,,,,W
CA,06,California,49,Doug,Applegate,Doug Applegate,D,"154,267",0.49738679,,,,,
CA,06,California,49,,,Total Votes,,"310,155",,,,,,
CA,06,California,50,Duncan,Hunter,Duncan Hunter,R,"179,937",0.634512647,,,,,W
CA,06,California,50,Patrick,Malloy,Patrick Malloy,D,"103,646",0.365487353,,,,,
CA,06,California,50,,,Total Votes,,"283,583",,,,,,
CA,06,California,51,Juan ,Vargas,Juan  Vargas,D,"145,162",0.727541549,,,,,W
CA,06,California,51,"Juan M., Jr.",Hidalgo,"Juan M., Jr. Hidalgo",R,"54,362",0.272458451,,,,,
CA,06,California,51,,,Total Votes,,"199,524",,,,,,
CA,06,California,52,Scott,Peters,Scott Peters,D,"181,253",0.565256848,,,,,W
CA,06,California,52,Denise,Gitsham,Denise Gitsham,R,"139,403",0.434743152,,,,,
CA,06,California,52,,,Total Votes,,"320,656",,,,,,
CA,06,California,53,Susan A.,Davis,Susan A. Davis,D,"198,988",0.670092539,,,,,W
CA,06,California,53,James,Veltmeyer,James Veltmeyer,R,"97,968",0.329907461,,,,,
CA,06,California,53,,,Total Votes,,"296,956",,,,,,
CO,08,Colorado,01,Diana,DeGette,Diana DeGette,D,"257,254",0.67870598,,,,,W
CO,08,Colorado,01,"Charles ""Casper""",Stockham,"Charles ""Casper"" Stockham",R,"105,030",0.27709769,,,,,
CO,08,Colorado,01,Darrell,Dinges,Darrell Dinges,LIB,"16,752",0.04419633,,,,,
CO,08,Colorado,01,,,Total Votes,,"379,036",,,,,,
CO,08,Colorado,02,Jared,Polis,Jared Polis,D,"260,175",0.568922311,,,,,W
CO,08,Colorado,02,Nicholas,Morse,Nicholas Morse,R,"170,001",0.371739644,,,,,
CO,08,Colorado,02,Richard,Longstreth,Richard Longstreth,LIB,"27,136",0.059338045,,,,,
CO,08,Colorado,02,,,Total Votes,,"457,312",,,,,,
CO,08,Colorado,03,Scott R.,Tipton,Scott R. Tipton,R,"204,220",0.545988766,,,,,W
CO,08,Colorado,03,Gail,Schwartz,Gail Schwartz,D,"150,914",0.403473453,,,,,
CO,08,Colorado,03,Kent,Gaylon,Kent Gaylon,LIB,"18,903",0.050537781,,,,,
CO,08,Colorado,03,,,Total Votes,,"374,037",,,,,,
CO,08,Colorado,04,Ken,Buck,Ken Buck,R,"248,230",0.635452532,,,,,W
CO,08,Colorado,04,Bob,Seay,Bob Seay,D,"123,642",0.316515417,,,,,
CO,08,Colorado,04,Bruce,Griffith,Bruce Griffith,LIB,"18,761",0.048026931,,,,,
CO,08,Colorado,04,Donald,Howbert,Donald Howbert,W,2,0.00000512,,,,,
CO,08,Colorado,04,,,Total Votes,,"390,635",,,,,,
CO,08,Colorado,05,Doug,Lamborn,Doug Lamborn,R,"225,445",0.622580182,,,,,W
CO,08,Colorado,05,Misty,Plowright,Misty Plowright,D,"111,676",0.308400117,,,,,
CO,08,Colorado,05,Mike,McRedmond,Mike McRedmond,LIB,"24,872",0.068685552,,,,,
CO,08,Colorado,05,Curtis,Imrie,Curtis Imrie,W,121,0.000334149,,,,,
CO,08,Colorado,05,,,Total Votes,,"362,114",,,,,,
CO,08,Colorado,06,Mike,Coffman,Mike Coffman,R,"191,626",0.509079027,,,,,W
CO,08,Colorado,06,Morgan,Carroll,Morgan Carroll,D,"160,372",0.42604877,,,,,
CO,08,Colorado,06,Norm,Olsen,Norm Olsen,LIB,"18,778",0.049886163,,,,,
CO,08,Colorado,06,Robert Lee,Worthey,Robert Lee Worthey,GRE,"5,641",0.014986039,,,,,
CO,08,Colorado,06,,,Total Votes,,"376,417",,,,,,
CO,08,Colorado,07,Ed,Perlmutter,Ed Perlmutter,D,"199,758",0.551802436,,,,,W
CO,08,Colorado,07,George,Athanasopoulos,George Athanasopoulos,R,"144,066",0.397961382,,,,,
CO,08,Colorado,07,Martin L.,Buchanan,Martin L. Buchanan,LIB  ,"18,186",0.050236181,,,,,
CO,08,Colorado,07,,,Total Votes,,"362,010",,,,,,
CT,09,Connecticut,01,John B.,Larson,John B. Larson,D,"200,686",0.641323001,,,"200,686",64.13%,W
CT,09,Connecticut,01,John B.,Larson,John B. Larson,WF,"200,686",0.641323001,,,"200,686",64.13%,
CT,09,Connecticut,01,Matthew M.,Corey,Matthew M. Corey,R,"105,674",0.337697531,,,,,
CT,09,Connecticut,01,S. Michael,DeRosa,S. Michael DeRosa,GRE,"6,563",0.020973077,,,,,
CT,09,Connecticut,01,Charles ,Jackson,Charles  Jackson,W,1,0.0000032,,,,,
CT,09,Connecticut,01,Mark ,Stewart,Mark  Stewart,W,1,0.0000032,,,,,
CT,09,Connecticut,01,,,Total Votes,,"312,925",,,,,,
CT,09,Connecticut,02,Joe,Courtney,Joe Courtney,D,"208,818",0.632289399,,,"208,818",63.23%,W
CT,09,Connecticut,02,Joe,Courtney,Joe Courtney,WF,"208,818",0.632289399,,,"208,818",63.23%,
CT,09,Connecticut,02,Daria Irene,Novak,Daria Irene Novak,R,"111,149",0.336553048,,,,,
CT,09,Connecticut,02,Jonathan,Pelto,Jonathan Pelto,GRE,"5,332",0.016145002,,,,,
CT,09,Connecticut,02,Daniel,Reale,Daniel Reale,LIB,"4,949",0.014985299,,,,,
CT,09,Connecticut,02,Elizabeth F.,Traceski,Elizabeth F. Traceski,W,9,0.0000273,,,,,
CT,09,Connecticut,02,,,Total Votes,,"330,257",,,,,,
CT,09,Connecticut,03,Rosa L.,DeLauro,Rosa L. DeLauro,D,"213,572",0.690324812,,,"213,572",69.03%,W
CT,09,Connecticut,03,Rosa L.,DeLauro,Rosa L. DeLauro,WF,"213,572",0.690324812,,,"213,572",69.03%,
CT,09,Connecticut,03,Angel,Cadena,Angel Cadena,R,"95,786",0.30960731,,,,,
CT,09,Connecticut,03,Christopher,Schaefer,Christopher Schaefer,W,18,0.0000582,,,,,
CT,09,Connecticut,03,Andrew ,Rule,Andrew  Rule,W,3,0.0000097,,,,,
CT,09,Connecticut,03,,,Total Votes,,"309,379",,,,,,
CT,09,Connecticut,04,Jim,Himes,Jim Himes,D,"187,811",0.599001722,,,,,W
CT,09,Connecticut,04,John,Shaban,John Shaban,R,"125,724",0.400982331,,,"125,724",40.10%,
CT,09,Connecticut,04,John,Shaban,John Shaban,IP,"125,724",0.400982331,,,"125,724",40.10%,
CT,09,Connecticut,04,Carl E. ,Vassar,Carl E.  Vassar,W,5,0.0000159,,,,,
CT,09,Connecticut,04,,,Total Votes,,"313,540",,,,,,
CT,09,Connecticut,05,Elizabeth,Esty,Elizabeth Esty,D,"179,252",0.579949657,,,"179,252",57.99%,W
CT,09,Connecticut,05,Elizabeth,Esty,Elizabeth Esty,WF,"179,252",0.579949657,,,"179,252",57.99%,
CT,09,Connecticut,05,Clay,Cope,Clay Cope,IP,"129,801",0.419956516,,,"129,801",42.00%,
CT,09,Connecticut,05,Clay,Cope,Clay Cope,R,"129,801",0.419956516,,,"129,801",42.00%,
CT,09,Connecticut,05,John ,Pistone,John  Pistone,R/W,28,0.0000906,,,,,
CT,09,Connecticut,05,Ann-Marie,Adams,Ann-Marie Adams,W,1,0.00000324,,,,,
CT,09,Connecticut,05,,,Total Votes,,"309,082",,,,,,
DE,10,Delaware,00,Lisa Blunt,Rochester,Lisa Blunt Rochester,D,"233,554",0.55523488,,,,,W
DE,10,Delaware,00,Hans,Reigle,Hans Reigle,R,"172,301",0.409616299,,,,,
DE,10,Delaware,00,Mark J.,Perri,Mark J. Perri,GRE,"8,326",0.019793648,,,,,
DE,10,Delaware,00,Scott A.,Gesty,Scott A. Gesty,LIB,"6,436",0.015300494,,,,,
DE,10,Delaware,00,Scott,Walker,Scott Walker,W,14,0.0000333,,,,,
DE,10,Delaware,00,"Robert Nelson, III",Franz,"Robert Nelson, III Franz",W,4,0.00000951,,,,,
DE,10,Delaware,00,Campbell,Smith,Campbell Smith,W,4,0.00000951,,,,,
DE,10,Delaware,00,Rachelle Lee,Linney,Rachelle Lee Linney,W,1,0.00000238,,,,,
DE,10,Delaware,00,,,Total Votes,,"420,640",,,,,,
